社会主义新农村建设	中心环节	生产发展
泻下剂	治疗	大便秘结证
泻下剂	谓词	攻补兼施
攻补兼施	描述	泻下剂的治疗方法
脉细而弱	无关	火热致病
白术	属于	另半夏白术天麻汤
白术	治疗	痰厥头痛
白术	治疗	胸膈多痰
白术	治疗	动则眩晕
白术	剂量	一钱
遵纪守法	属于	社会公德
遵纪守法	是最基本的要求	社会公德的要求
个体家庭	属于	中国封建社会的基本生产结构
个体家庭	结合	家庭手工业
家庭手工业	与	个体家庭
家庭手工业	属于	中国封建社会的基本生产结构
小农经济	是	中国封建社会的基本生产结构中的类型
中国共产党	领导	多党合作制度
多党合作制度	核心内容	多党合作
夹持进针法	使用	毫针
夹持进针法	使用对象	3寸以上
毫针	类别	进针工具
3寸以上	尺寸	毫针的大小
五味子	不包括	收湿敛疮
独立自主	属于	对外开放基本立足点
自力更生	属于	对外开放基本立足点
坚持对外开放基本立足点	包含	独立自主, 自力更生
青少年	关注	世界观培养
青少年	不包括	习惯行为塑造
关节疼痛	病因	风邪
权利	体现	正当性
权利	保障	实现
依法行使权利	是	充分必要条件
血容量不足	导致	血压升高
血容量不足	导致	中心静脉压不变
静脉滴注	治疗	血容量不足
250ml	量	静脉滴注
250ml	量	血容量不足
执业医师	注册	医疗、预防、保健机构
执业医师	在…中执业	满五年
执业医师	办理审批手续	获得行医资格
执业医师	行医	经过审批并满足年限条件
辛亥革命	时间范围	1840年至1919年
辛亥革命	性质	完全意义上的资产阶级民主革命
出院休养决定	基于	持续的症状改善
出院休养决定	而非	短期缓解
积极情绪	具有	交流功能
积极情绪	能传达	友好、合作等积极信息
胆囊结石	属于	胆固醇结石
胆囊结石	属于	以胆固醇为主的混合结石
继发性腹膜炎	由	急性阑尾炎穿孔引起
Ca2+	不属于	第一信使物质
间歇夹闭引流管	预防	泌尿系统结石
间歇夹闭引流管	预防	泌尿系统感染
主体	谓词	客体
陈皮	与	干姜
陈皮	与	细辛
陈皮	与	五味子
陈皮	治疗	寒痰咳嗽
营分证	不属于	夜间低热
中间派	属于	三三制政权
中间派	包括	开明绅士
孙中山	提出	民生主义
民生主义	旨在	解决贫富悬殊问题
民生主义	实现	富强
民生主义	避免	社会危机
手厥阴心包经	交于	少阳三焦经
手厥阴心包经	属于	经络系统
少阳三焦经	交于	手厥阴心包经
少阳三焦经	属于	经络系统
乳房脓肿	诊断依据	穿刺有脓液
流行性乙型脑炎病毒	属于	RNA病毒
流行性乙型脑炎病毒	病原体	流行性乙型脑炎
癌胚抗原	属于	甲胎蛋白
日本血吸虫虫卵	属于	Ⅳ型变态反应的结节
日本血吸虫虫卵	形成	结节
日本血吸虫虫卵	谓词	类型（属于）
太冲	属于	穴位
太溪	属于	穴位
治疗中风中经络兼见肝阳暴亢	使用	太冲
治疗中风中经络兼见肝阳暴亢	使用	太溪
女子	属于	更年期人群
四七	指代	女子更年期年龄阶段
神曲	常用于	丸剂
神曲	预防	质重伤胃
静脉补钾	导致	高血钾
尿量	大于	40ml/h
尿量	防止	高血钾
砂仁	具有	安胎作用
砂仁	治疗	胎动不安
绒毛膜癌	不包括	可见胎盘绒毛
患者	具有	高分
患者	用于	临床参考
正常前列腺液	检查项目	白细胞计数
正常前列腺液	白细胞计数标准	少于10个/高倍视野
可能性	主体	描述
最大	闭合性气胸	可能性
气血不荣	导致	肢体麻木
气血不荣	导致	运动不便
气血不荣	导致	肌肤干燥瘙痒
经脉	症状	肢体麻木
经脉	症状	运动不便
经脉	症状	肌肤干燥瘙痒
急性血吸虫病	导致	血吸虫虫卵
十二指肠	长度	约25-30cm
十二指肠	描述	50cm
瘫痪病人	需要	特殊护理记录
瘫痪病人	不需要	特殊护理记录
二尖瓣狭窄	导致	心尖部可听及舒张期隆隆样杂音
大量血胸	范围	大于1000ml
甲状旁腺素	作用	抑制肾小管对磷的重吸收
《天朝田亩制度》	中心关注	土地问题
《天朝田亩制度》	解决	土地问题
食管癌	发生于	中段食管
外科切口	是	医院感染发生部位
外科切口	最常见于	医院感染
原因不明的肉芽肿性炎	属于	结节病
大建中汤	治疗	心胸中大寒痛
大建中汤	治疗	呕不能食
大建中汤	治疗	腹中寒上冲
大建中汤	属于	常用方剂
尸体护理	是	整体护理的最后步骤
尸体护理	体现	对死者的尊重
尸体护理	包含	家属安慰
尸体护理	属于	临终关怀
尸体护理	不是	家属宣泄感情的方法
肝	涉及	阳痿（经络）
肾	涉及	阳痿（经络）
胃	涉及	阳痿（经络）
手套	损坏	甲状腺手术后
手套	重新洗手	为了    确保手部清洁
实现人民幸福	目标	全面依法治国
全面依法治国	尊重和保障	人权
凝血功能不全	属于	禁忌证
硬膜外麻醉	导致	凝血功能不全
女性乳癌患者	影响预后	腋窝淋巴结转移
女性乳癌患者	影响预后	淋巴结转移数量
输尿管镜碎石术	并发	输尿管黏膜损伤
输尿管镜碎石术	并发	输尿管穿孔
双J管	治疗	输尿管黏膜损伤或穿孔
双J管	保留时间	4至6周
国家结构形式制度	属于	民族区域自治制度
民族区域自治制度	属于	中国国家结构形式
毕I式胃大部切除术	手术方式	治疗无效的男性57岁胃窦部溃疡内科
毕I式胃大部切除术	属于	手术方式
男性57岁胃窦部溃疡内科	治疗	毕I式胃大部切除术
中共二大	提出	反帝反封建民主革命纲领
中共二大	采用	群众路线的方法
购买阶段	执行	货币资本职能
肾虚阳痿	不属于	蟾酥的主治病症
股动脉	位置在	股静脉内侧0.5cm
全髋关节置换术	治疗	脱位
患肢	属于	全髋关节置换术
患肢	在外展中立位	预防    脱位
肺泡	功能残气量测量	单位：毫升
肺泡	无效腔容积测量	单位：毫升
肺泡	气体更新比例	(2500-150) / 500
气体更新比例	计算结果	1/7
患者	属于	骨盆骨折
患者	具有	出血性休克
一级护理	适用于	有骨盆骨折并出血性休克的女性患者
护士	属于	交流中的核实形式
病人语言	属于	交流中的核实形式
心阳不足	导致	体虚
心阳不足	特征	虚里脉动数
硬膜外阻滞	属于	麻醉方法
硬膜外阻滞	与	麻醉平面无关
硬膜外阻滞	使用	麻药种类
PTH	抑制	肾小管对磷的重吸收
酶	调节方式	别构调节
酶	代谢调节	快速调节
别构调节	方式	物质代谢
苦杏仁	与	麻黄
苦杏仁	作用	发散风寒, 宣肺平喘
麻黄	与	苦杏仁
中脘	属于	治疗胃病的穴位
中脘	用于	治疗胃病
龙胆泻肝汤	出自	《医方集解》
中共六届六中全会	提出	马克思主义中国化
中共六届六中全会	任务	马克思主义中国化
氧气表	显示	更换氧气筒的标志
氧气表	压力	5kg/cm2
医生	告知	妻子遗传疾病检测结果
医生	隐瞒	生物学父亲信息
遗传疾病检测结果	涉及	孩子
隐瞒信息	可能导致	孩子和家庭伤害
政府（主体）	纳入计划	中医药事业（客体）
政府（主体）	制定规划	国民经济和社会发展（客体）
莱菔子	能够	消食除胀
莱菔子	能够	降气化痰
毛泽东	主要代表	中国共产党人
中国共产党人	开始探索	社会主义建设道路
毛泽东	社会主义建设道路	开始探索者
住院经历	满足	安全需要
住院期间	感受	如家一般
安全需要	被满足于	病房环境
病房	提供	安全需要满足感
中共十三大	提出	社会主义初级阶段理论
中共十三大	提出	党的基本路线
人民愿望	根本出发点	三个代表重要思想
人民需要	落脚点	三个代表重要思想
维护人民利益	目标	三个代表重要思想
心悸不安	症状	治疗对象
胸闷不舒	症状	治疗对象
心痛时作	症状	治疗对象
少寐多梦	症状	治疗对象
唇甲青紫	症状	治疗对象
桂枝甘草龙骨牡蛎汤	药物	用于治疗
桂枝甘草龙骨牡蛎汤	治疗方法	合用
桃仁红花煎	药物	用于治疗
桃仁红花煎	治疗方法	合用
急性蜂窝织炎	并发	喉头水肿
绞窄性疝	是	疝内容物
绞窄性疝	血循环障碍时	转义为    术语
感染	导致	坏死组织的伤口
坏死组织的伤口	适合	碘仿纱条引流
碘仿纱条	用于	坏死组织的伤口引流
家具	不适合	环氧乙烷消毒
原发性腹膜炎	导致	肝硬化
肝硬化	导致	原发性腹膜炎
肠道屏障作用减弱	原因	原发性腹膜炎
下消化道细菌	通过	淋巴系统
下消化道细菌	到达	腹腔
患者	具有	深度异常（B）
患者	表现出	呼吸深度增加但有规则
时代精神	包含	改革创新
氯化钾	禁忌	静脉推注
10%	作为	氯化钾的比例
氯化钾	是	静脉推注的对象
胰蛋白酶	在发病过程中起作用	胰腺炎
胰蛋白酶	主要作用	胰腺炎
经输血补液治疗	诊断依据	血压不回升或升高后又下降
血压不回升或升高后又下降	属于	进行性血胸的重要诊断依据
进行性血胸	诊断依据	血压不回升或升高后又下降
患者	清除	口腔内玻璃碎屑
护士	执行	清除口腔内玻璃碎屑
患者	咬破	体温计
体温计	事件	咬破
护士	处理	咬破体温计后的客体（口腔内玻璃碎屑）
mRNA	阅读框决定	多肽链的氨基酸顺序
建设社会主义核心价值体系	属于	坚持中国特色社会主义文化发展道路的根本任务
建设社会主义核心价值体系	是	根本任务
主权	属于	祖国的大好河山
财富	属于	祖国的大好河山
民族发展	与	祖国的大好河山相关
进步	与	祖国的大好河山相关
血浆胶体渗透压	不是	产生水肿的原因
月经后期	属于	血虚的表现
月经后期	症状	量少色淡
逍遥散	包含	白芍
逍遥散	包含	白术
痛泻要方	包含	白芍
痛泻要方	包含	白术
隔离区域	根据	病人接触的环境
左室收缩末期容积	增加	在    动脉血压突然升高时
中共中央	强调	更好保障和改善民生
中共中央	强调	促进社会公平正义
深化社会体制改革	核心目标	更好保障和改善民生
深化社会体制改革	核心目标	促进社会公平正义
法律	属于	中国特色社会主义法律体系
法律	为主干	中国特色社会主义法律体系
马钱子	剂量	0.3~0.9克
马钱子	服用方式	日服
马钱子	客体	剂量
头痛昏蒙	主体	症状
胸脘满闷	主体	症状
纳呆呕恶	主体	症状
舌苔白腻	主体	症状
脉滑或弦滑	主体	症状
半夏白术天麻汤	调剂	治疗方法
半夏白术天麻汤	治疗	症状（头痛昏蒙, 胸脘满闷, 纳呆呕恶, 舌苔白腻, 脉滑或弦滑）
半表半里证	表现在	发热
半表半里证	表现在	恶寒
半表半里证	特征	交替出现
发热	症状	半表半里证
恶寒	症状	半表半里证
医生	进行	尸体护理
医生	诊断	死亡
尸体	接受	护理
噎膈	位于	食道
转录作用	起始	不需要引物参与
成无己	属于	《伤寒明理论》
成无己	作者	伤寒明理论
病人	处于	平卧位
错误的胸腔闭式引流术操作	包含	病人位置（平卧位）
资本主义制度	导致	两级分化
资本积累	结果	两级分化
毛泽东	提出	新民主主义革命总路线
毛泽东	在	《在晋绥干部会议上的讲话》中
新民主主义革命总路线	被	提出 by 毛泽东
肱动脉	位于	第七肋间
肱动脉	测量	血压
坐位	情境	测量血压的位置
气道	包含	非弹性阻力
气道	主要成分	非弹性阻力
心动过缓	是	症状
心动过缓	的状态	脉率
心动过缓	的定义	成人安静状态下低于60次/分
辩证同一	包含	差别、对立
辩证同一	包含	同一
真理	是	运动发展着的事物
运动发展着的事物	是	真理
真理	综合	多方面规定
真理	统一	多样性
多方面规定	综合	真理
多样性	统一	真理
温脾汤	适用症状	腹痛便秘, 脐下绞结, 手足不温
温脾汤	适用症状	苔白不渴
温脾汤	脉象	沉弦而迟
温脾汤	治疗目的	改善体质
市场经济本身	属于	理论突破
市场经济本身	不具有	制度属性
1992年党十四大	确定	市场经济体制改革目标
市场经济体制改革目标	理论上的	突破
王小姐	病情需要	住院床位安排
大叶性肺炎	导致	王小姐的病情
王小姐	需要	住院床位安排（根据）
黄花岗起义	属于	武装起义
黄花岗起义	由	孙中山领导
黄花岗起义	是	影响最大的起义
大量等渗盐水	导致	高氯性酸中毒
等渗盐水	在	重度等渗性缺水或休克时
《关于清算、减租及土地问题的指示》	标志着	解放区土地问题过渡的开始
《关于清算、减租及土地问题的指示》	导致	土地关系变革
《关于清算、减租及土地问题的指示》	导向	废除封建剥削制度
《关于清算、减租及土地问题的指示》	关联	农民土地问题变革
代抵当丸	治疗	浊瘀阻塞之癃闭
嵌顿性疝	发生	绞窄
嵌顿性疝	压力骤降	疼痛减轻
嵌顿性疝	疝内容物部分复位	并不意味着
石膏	不具有	解毒功效
程氏萆薢分清饮	治疗	遗精伴有小便黄赤、热涩不畅、口苦苔黄腻的证候
腹外疝	常见原因	不包括
腹外疝	不包括	剧烈运动
甲状腺癌	表现	活动度大
甲状腺癌	不符合	活动度大（症状）
矿化组织特异性蛋白	属于	成牙本质细胞源性蛋白
建设资源节约型社会的核心	属于	目标
建设资源节约型社会的核心	包括	节约使用资源
建设资源节约型社会的核心	包括	提高能源资源利用效率
经皮腔内血管成形术	治疗	男性56岁右下肢疼痛无力，伴动脉搏动未触及的首选方案
基底膜	属于	听觉器官螺旋体的位置
《伤寒金镜录》	所属	现存论舌的第一部专著
保持党同人民群众的血肉联系	属于	作风问题的核心
珍珠母	功效	平肝潜阳
珍珠母	功效	清肝明目
珍珠母	功效	镇惊安神
理性认识	基于	感性认识
理性认识	通过	感性认识
感性认识	说明	理性认识
原发乳腺癌	属于	转移性骨肿瘤
原发乳腺癌	是最常见的原发病灶	转移性骨肿瘤
动脉脉搏压	增加	心率减慢
乙醇	可用于	去除
乙醇	治疗盘内的碘渍	清洗
保加利亚	属于	欧盟
保加利亚	加入	欧盟（时间：2007年1月1日）
罗马尼亚	属于	欧盟
罗马尼亚	加入	欧盟（时间：2007年1月1日）
马克思主义	属于	理论体系
马克思主义	立场	观察、分析和解决问题的根本立足点和出发点
病毒性肺炎	属于	间质性肺炎
病毒性肺炎	是	间质性肺炎类型
咯血	导致	结核
作为商品的资本	属于	借贷资本
黄宫绣	著作	《脉理求真》
《脉理求真》	作者	黄宫绣
防风通胜散	不属于	钱乙的《小儿药证直诀》
生化汤	包含	黄酒
切口处置沙袋	用于	防止渗血
切口处置沙袋	作用于	疝修补术后主体
Barrett食管	属于	胃腺上皮化生
Barrett食管	是	腺性化生
血栓性外痔	属于	疾病
血栓性外痔	症状	无血便
错误的操作方法	导致	皮肤损伤
错误的操作方法	包含	向心方向边擦边摩
无菌盘	有效期	6h
无菌盘	错误	信息
太阴病证	属于	症状
太阴病证	包含	腹满而吐
太阴病证	包含	食不下
太阴病证	包含	时腹自痛
太阴病证	包含	苔白腻
太阴病证	包含	脉沉缓
骨髓	贮存铁减少	体内缺铁初期最早最可靠的诊断依据
体内缺铁	初期	诊断依据
体内缺铁	最早	诊断依据
体内缺铁	最可靠	诊断依据
冰槽	用于	脑水肿治疗
冰槽	保护	脑细胞
腰麻	导致	麻醉平面过高
纽曼系统模式	属性	维持机体基本结构正常
抵抗防线特性	属于	纽曼系统模式
中共八大	提出	主要任务
主要任务	包含	集中力量发展社会生产力
集中力量发展社会生产力	目标	实现国家工业化
实现国家工业化	目标	逐步满足人民日益增长的物质和文化需要
逐步满足人民日益增长的物质和文化需要	目的	中共八大提出
生产力水平	物质基础	按劳分配
痰饮病证	属于	疾病
痰饮病证	表现为	心下满闷
痰饮病证	表现为	呕吐清水痰涎
痰饮病证	表现为	胃肠沥沥有声
痰饮病证	表现为	形体消瘦
痰饮病证	诊断为	痰饮
COPD	并发	肺心病
COPD	急性加重	治疗措施
肺心病	伴随	肺感染
肺心病	治疗	控制肺部感染
谵语	病机	热扰心神
谵语	症状	神明失主
《党政领导干部生态环境损害责任追究办法（试行）》	规定	生态环境损害责任追究
领导干部	实行	终身追责
生态环境损害	责任追究	领导干部
肛周脓肿	导致	肛瘘
肛周脓肿	自行破溃	肛瘘
患者	具有	溃疡性结肠炎病史
患者	近半年	腹泻改善
患者	表现出	消瘦
患者	左下腹	触及质硬包块
首选检查	针对	患者
结肠镜+活检	用于	诊断
结肠镜+活检	可能诊断	结肠癌
健脾丸	主治	食少难消, 症状
健脾丸	主治	脘腹痞闷, 症状
健脾丸	主治	大便溏薄, 症状
健脾丸	主治	倦怠乏力, 症状
健脾丸	苔腻微黄	症状
健脾丸	脉虚弱	症状
误切甲状旁腺	导致	抽搐发作
10%葡萄糖酸钙溶液	用于	补充钙离子
奥美拉唑	属于	胃食管反流病维持治疗药物
奥美拉唑	效果最好	胃食管反流病维持治疗
结石	导致	肝外型门脉高压症
门静脉	被压迫	结石
缺铁性贫血	属于	患者贫血类型
缺铁性贫血	症状	胃区隐痛
缺铁性贫血	症状	间有黑便
缺铁性贫血	检查结果	血红蛋白低于正常范围
缺铁性贫血	检查结果	红细胞低于正常范围
缺铁性贫血	检查结果	白细胞正常
缺铁性贫血	检查结果	血小板正常
社会主义基本制度	属于	中国全面确立的标志
社会主义改造的基本完成	标志	社会主义基本制度在中国全面确立
宗教信仰自由	定义	公民自由权利
宗教信仰自由	包含	信仰宗教自由
宗教信仰自由	包含	不信仰宗教自由
癌肉瘤	包含	癌
癌肉瘤	包含	肉瘤
癌肉瘤	类型	肿瘤
前列腺炎	导致	排尿疼痛
前列腺炎	导致	终末血尿
前列腺炎	主体	青年男性
前列腺炎	症状	排尿疼痛
前列腺炎	症状	终末血尿
错误的床单位	处理	立即铺好暂空床
- 减压反射	属于	负反馈调节过程
静脉滴注	浓度	0.30%
静脉滴注	包含	钾溶液
静脉滴注	常用	0.30%浓度
特发性肺纤维化	动脉血气检查结果	PaO2降低
双下肢	属于	烧伤九分法中的面积
33%	是	双下肢的面积估计
44%	不是	双下肢的面积估计
休克病人	身体位置	抬高
休克病人	抬高角度	头部 20°~30°
休克病人	抬高角度	躯干 20°~30°
休克病人	抬高角度	下肢 15°~20°
胃食管反流病	症状	烧心
胃食管反流病	症状	反酸
丙酮酸	不转化为	丙酮
卫生管理部门的专家伦理委员会	负责	国家和地区卫生政策咨询
卫生管理部门的专家伦理委员会	负责	伦理研究
卫生管理部门的专家伦理委员会	负责	对下级伦理委员会监督指导
卫生管理部门的专家伦理委员会	负责	特殊重大项目的伦理审查批准
平型关大捷	属于	中国军队的历史事件
平型关大捷	时间	全民族抗战初期
平型关大捷	结果	粉碎日军不可战胜的神话
血尿	定位诊断	尿三杯试验, 血尿出现的阶段, 血块的形态, 伴随症状
绞窄性肠梗阻	导致	急性持续性腹痛
绞窄性肠梗阻	导致	阵发性加剧
绞窄性肠梗阻	导致	休克
脓胸	是	胸膜腔感染的结果
脓胸	导致	脓性渗出液积聚
意识内容	是	客观的
意识形式	是	主观的
三人搬运技巧	方法	托头、肩部（甲）
三人搬运技巧	方法	托背部、臀部（乙）
三人搬运技巧	方法	托腘窝、腿部（丙）
体温过低	不是	心跳呼吸增快的临床表现
沉香	不属于	健脾消食的功效
垂体	分泌	ACTH
ACTH	过多	皮质醇增多症
皮质醇增多症	最常见的病因	垂体ACTH分泌过多
羚角钩藤汤	功能	凉肝熄风, 增液舒筋
贯众	能够	清气分之实热
贯众	能够	解血分之热毒
骨盆骨折	损伤	尿道膜部
尿道损伤	当伴随	骨盆骨折
三棱	与	莪术
三棱	共同作用	破血行气
三棱	共同作用	消积止痛
莪术	共同作用	破血行气
莪术	共同作用	消积止痛
铁粒幼细胞性贫血	不是由	红细胞破坏过多引起的
罂粟壳	包含在	真人养脏汤组成药物中
腹直肌外缘	属于	直疝三角
腹壁下动脉	属于	直疝三角
腹股沟韧带	属于	直疝三角
铁矿石价格	导致	资本价值构成变化
防风	具有	止痉功效
羌活	不具有	止痉功效
吴茱萸	治疗	肝寒气滞诸痛
毛泽东	写作	《实践论》
毛泽东	写作	《矛盾论》
毛泽东	克服	教条主义
《实践论》	属于	毛泽东的作品
《矛盾论》	属于	毛泽东的作品
郁李仁	性味	辛,苦,甘,平
一切从实际出发	前提和基础	实事求是思想路线
当前中国最大的实际	属于	社会主义初级阶段
错误的烧伤创面	处理方式	剔除大小水泡
错误的烧伤创面	客体	大小水泡
肾气衰竭	对应于	男子五八岁阶段
导尿管	不应该插入	导尿道（立即）
转移性脓肿	是	脓毒血症的临床表现
转移性脓肿	具有	最具特征性的
社会意识	具有	历史继承性
类固醇激素	作用于	细胞内受体
