九一散	仅供	外用
60℃	温度	稳定性考察条件
10天	时间	稳定性考察周期
高温试验	包含	条件和过程
药品	包含成分	国家药品标准规定成分
药品	不符合规定	国家药品标准规定成分
药品	按照规定	劣药处理
聚乳酸	属于	生物可降解性合成高分子
聚乳酸	是	囊材
胎盘	属于	垂直传播
胎盘	传染方式	直接
氟尿嘧啶	属于	抗代谢物
拟肾上腺素药物	取代	烷基
拟肾上腺素药物	增强选择性	β受体
烷基	取代在	拟肾上腺素药物的氨基上
烷基	选择性增强	拟肾上腺素药物对β受体
调配人员	由	上一级的技术人员复核
上一级的技术人员	复核	调配人员
青霉素	分类	粉针剂
青霉素	原因	防止水解
滥用肾上腺皮质激素	导致	过度治疗用药
肾上腺皮质激素	属于	药物
过度治疗用药	是	滥用肾上腺皮质激素的例子
健康	属于	完全良好状态
健康	包含	躯体健康
健康	包含	精神健康
健康	包含	社会健康
健康	不包含	疾病
健康	不包含	病痛
芒硝	风化	粉末
凉膈散	功能	泻火通便, 清上泄下
中药制剂分析	包含	成分多
中药制剂分析	包含	复杂性
中药制剂分析	动作	提取
中药制剂分析	动作	分离
中药制剂分析	动作	纯化
中药制剂分析	属性	一般
6C—3C—6C	属于	黄酮类化合物的基本骨架
子房	属于	雌蕊
花柱	属于	雌蕊
柱头	属于	雌蕊
对乙酰氨基酚	包含	特殊杂质
对乙酰氨基酚	属于	《中国药典》检查项目
特殊杂质	属于	对乙酰氨基酚检查内容
特殊杂质	被	《中国药典》规定检查
丁某	符合	药学类执业药师资格考试报名条件
丁某	学历	临床医学专业本科学历
丁某	工作经历	药学专业工作满4年
肾	所藏	之精
肾	藏	先后天之精
拔毒化腐生肌药	使用方式	外用
甘油明胶	用于	阴道栓基质
甘油明胶	不适用	鞣酸与蛋白质配伍禁忌的情况
水气凌心	属于	相乘传变
茯苓多糖	具有	细胞毒作用
茯苓多糖	用于治疗	肿瘤
酮体	生成于	肝
肝	利用	酮体
兴奋性突触后电位	产生	局部去极化
兴奋性突触后电位	作用于	突触后膜
葛根	属于	方剂
葛根芩连汤	主证	表热内陷, 下利不止
四氮唑比色法	方法	测定醋酸地塞米松注射液含量
醋酸地塞米松注射液	被测定	四氮唑比色法
淀粉	属于	中药水提液的沉淀
中药水提液的沉淀	经过	乙醇析出
中药水提液的沉淀	被	浓缩
中药水提液的沉淀	是	淀粉的来源
炉甘石	煅烧	目疾
炉甘石	治疗	目疾
安替比林	在体内分布	组织中药物浓度
安替比林	在体内分布	血液中药物浓度
安替比林	分布特征	相等
通草	药用部位	茎髓
制白附子	剂量	3~6g
巴西棕榈蜡	制备	溶蚀性骨架片
滴眼剂	不含	促渗剂
美托洛尔	属于	肾上腺素受体阻断药
调配物	使用	温开水
调配物	分散媒	温开水
温开水	温度	30~40℃
温开水	在调配肠内营养制剂时	适宜
凝胶膏剂	制成	贴膏剂
凝胶膏剂	包含	药物
凝胶膏剂	包含	亲水性基质
凝胶膏剂	涂布于	背衬材料
盐酸吗啡注射液	导致	颜色变深
盐酸吗啡注射液	原因	氧化反应
血吸虫病	不属于	甲硝唑的临床适应证
斑点	属于	点样
斑点	间距	2~3mm
斑点	目的	不妨碍检出
排尿反射	属于	正反馈调节
处方	包含	法律意义
处方	包含	技术意义
处方	包含	经济意义
阿司匹林	预防	血栓
阿司匹林	采用	小剂量
阿司匹林	采用	长疗程
不溶性微粒检查方法	包括	光阻法
不溶性微粒检查方法	包括	显微计数法
中药发芽法	温度	18到25℃
药物	与酶诱导剂合用	加速药物代谢
水溶性高的物质	不能自由通过	细胞膜
鳖甲	炮制目的	增强疗效
黄龙汤	包含	人参
黄龙汤	包含	当归
黄龙汤	包含	甘草
黄龙汤	包含	大黄
黄龙汤	包含	芒硝
黄龙汤	包含	枳实
黄龙汤	包含	厚朴
大连湾牡蛎	具有特征	贝壳，类三角形
大连湾牡蛎	具有特征	背腹缘，八字形
大连湾牡蛎	具有特征	右壳外色，淡黄色
大连湾牡蛎	具有特征	内面颜色，红黄色
温胆汤	不包含	枳壳
通草	属于	五加科
硫酸盐	是	杂质
氯化钡	反应	硫酸盐
在盐酸溶液中	与	氯化钡
胃虚有热之呃逆	属于	橘皮竹茹汤的主治证
硝普钠	属于	妊娠药物毒性分级D级药物
硝普钠	是	降压药
西拉普利	属于	妊娠药物毒性分级D级药物
西拉普利	是	降压药
硬胶囊剂	包含	水分
硬胶囊剂	水分含量	0.09
硬胶囊剂	属于	《中华人民共和国药典》1995年版
硬胶囊剂	规定	水分含量限度
药品通用名称	位于	横版标签上
药品通用名称	位于	竖版标签上
横版标签	位置	上1/3范围
竖版标签	位置	右1/3范围
甘露醇	用于	降低颅内压治疗
甘露醇	治疗	脑水肿
B淋巴细胞	不属于	非特异性免疫的组成因素
薄荷	在组成	养阴清肺汤
薄荷	具有作用	散邪利咽
黄连	不属于	浙八味
干漆	目的	降低毒性
干漆	处理方式	炒炭
炒炭后的干漆	属性	毒性降低
越鞠丸	治疗	六郁证
越鞠丸	不属于	痰郁
枳壳	属于	芸香科植物
枳壳	是	药材
